"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2","emojiTooltipText__040f0","emojiTooltipText__040f0 2","emojiTooltipText__040f0 3","emojiTooltipText__040f0 5","hiddenVisually_b18fe2 3","hiddenVisually_b18fe2 4","hiddenVisually_b18fe2 5"
"","","","","[","Tuesday, October 14, 2025 at 10:41 AM","Unusual Call Sweep","TSLA","422.5","10/17/2025","Call","Above","402","$426.1K","13,109","2,860","3 hours ago","Tuesday, October 14, 2025 at 10:26 AM","10:41 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 14, 2025 at 10:43 AM","Call Sweep","GOOG","240","12/19/2025","Call","Above","1,002","$1.9M","1,017","1,849","2 hours ago","Tuesday, October 14, 2025 at 10:28 AM","10:43 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 14, 2025 at 10:43 AM","Call Sweep","TSLA","440","10/17/2025","Call","Ask","1,167","$431.8K","13,426","20,792","2 hours ago","Tuesday, October 14, 2025 at 10:28 AM","10:43 AM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:45 AM","—","Tuesday, October 14, 2025 at 10:45 AM","Call Sweep","GOOG","240","12/19/2025","Call","Ask","559","$1.1M","1,576","1,849","2 hours ago","Tuesday, October 14, 2025 at 10:30 AM","","","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 10:45 AM","Call Sweep","SHOP","165","11/21/2025","Call","Ask","621","$481.3K","665","962","2 hours ago","Tuesday, October 14, 2025 at 10:30 AM","10:45 AM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 10:46 AM","Unusual Call Sweep","WMT","87.5","05/15/2026","Call","Ask","199","$419.9K","333","54","2 hours ago","Tuesday, October 14, 2025 at 10:31 AM","10:46 AM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 10:47 AM","Call Sweep","GOOGL","245","12/19/2025","Call","Ask","1,252","$2M","3,157","4,562","2 hours ago","Tuesday, October 14, 2025 at 10:32 AM","10:47 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 14, 2025 at 10:47 AM","Call Sweep","SLV","46","11/14/2025","Call","Ask","2,000","$600K","5,395","2,142","2 hours ago","Tuesday, October 14, 2025 at 10:32 AM","10:47 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 14, 2025 at 10:50 AM","Call Sweep","BA","170","01/16/2026","Call","Ask","217","$1.1M","258","1,200","2 hours ago","Tuesday, October 14, 2025 at 10:35 AM","10:50 AM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:54 AM","—","Tuesday, October 14, 2025 at 10:54 AM","Call Sweep","GOOG","240","12/19/2025","Call","Ask","600","$1.2M","4,333","1,849","2 hours ago","Tuesday, October 14, 2025 at 10:39 AM","","","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 10:54 AM","Put Sweep","NVDA","150","04/17/2026","Put","Ask","1,112","$973K","1,272","5,440","2 hours ago","Tuesday, October 14, 2025 at 10:39 AM","10:54 AM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 10:56 AM","Call Sweep","BE","95","01/16/2026","Call","Ask","305","$960.8K","335","684","2 hours ago","Tuesday, October 14, 2025 at 10:41 AM","10:56 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 14, 2025 at 10:57 AM","Unusual Call Sweep","DECK","95","01/21/2028","Call","Ask","187","$596.5K","189","8","2 hours ago","Tuesday, October 14, 2025 at 10:41 AM","10:57 AM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 10:58 AM","Unusual Call Sweep","BTU","48","04/17/2026","Call","Ask","1,500","$510K","1,500","62","2 hours ago","Tuesday, October 14, 2025 at 10:43 AM","10:58 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11:03 AM","—","Tuesday, October 14, 2025 at 11:03 AM","Put Sweep","META","735","10/24/2025","Put","Above","247","$768.9K","264","784","2 hours ago","Tuesday, October 14, 2025 at 10:48 AM","","","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 11:06 AM","Call Sweep","MSTR","320","10/17/2025","Call","Ask","1,717","$558K","6,787","4,227","2 hours ago","Tuesday, October 14, 2025 at 10:51 AM","11:06 AM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 11:09 AM","Call Sweep","UAMY","12.5","01/15/2027","Call","Ask","450","$432K","469","652","2 hours ago","Tuesday, October 14, 2025 at 10:54 AM","11:09 AM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11:21 AM","—","Tuesday, October 14, 2025 at 11:21 AM","Unusual Call Sweep","NVDA","182.5","10/17/2025","Call","Ask","1,631","$530.1K","71,079","8,056","2 hours ago","Tuesday, October 14, 2025 at 11:06 AM","","","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 11:21 AM","Call Sweep","TSLA","430","10/31/2025","Call","Ask","300","$646.5K","2,362","3,085","2 hours ago","Tuesday, October 14, 2025 at 11:06 AM","11:21 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 14, 2025 at 11:22 AM","Unusual Call Sweep","NVDA","182.5","10/17/2025","Call","Ask","2,239","$738.9K","74,107","8,056","2 hours ago","Tuesday, October 14, 2025 at 11:07 AM","11:22 AM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11:38 AM","—","Tuesday, October 14, 2025 at 11:38 AM","Unusual Call Sweep","GOOG","245","12/19/2025","Call","Ask","999","$1.7M","4,093","1,333","2 hours ago","Tuesday, October 14, 2025 at 11:23 AM","","","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 11:39 AM","Put Sweep","HIMS","30","01/16/2026","Put","Ask","3,447","$430.9K","11,453","4,889","2 hours ago","Tuesday, October 14, 2025 at 11:24 AM","11:39 AM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11:49 AM","—","Tuesday, October 14, 2025 at 11:49 AM","Call Sweep","CRM","300","12/19/2025","Call","Ask","954","$415K","4,270","68,171","an hour ago","Tuesday, October 14, 2025 at 11:34 AM","","","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 11:54 AM","Put Sweep","RBLX","135","03/20/2026","Put","Above","272","$569.9K","372","362","an hour ago","Tuesday, October 14, 2025 at 11:39 AM","11:54 AM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11:59 AM","—","Tuesday, October 14, 2025 at 11:59 AM","Call Sweep","AVGO","350","10/17/2025","Call","Above","806","$457K","4,952","9,666","an hour ago","Tuesday, October 14, 2025 at 11:44 AM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 14, 2025 at 12:01 PM","Call Sweep","W","110","03/20/2026","Call","Ask","733","$414.1K","733","267","an hour ago","Tuesday, October 14, 2025 at 11:46 AM","12:01 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 14, 2025 at 12:04 PM","Call Sweep","AMZN","215","12/19/2025","Call","Ask","492","$794.6K","1,454","6,651","an hour ago","Tuesday, October 14, 2025 at 11:49 AM","12:04 PM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:04 PM","Put Sweep","W","105","05/15/2026","Put","Ask","398","$1.4M","797","0","an hour ago","Tuesday, October 14, 2025 at 11:49 AM","12:04 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","12:06 PM","—","Tuesday, October 14, 2025 at 12:06 PM","Put Sweep","NVDA","200","10/31/2025","Put","Above","400","$726.2K","880","2,090","an hour ago","Tuesday, October 14, 2025 at 11:51 AM","","","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:11 PM","Unusual Put Sweep","Z","72.5","06/18/2026","Put","Ask","514","$575.7K","1,615","191","an hour ago","Tuesday, October 14, 2025 at 11:56 AM","12:11 PM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:13 PM","Put Sweep","Z","80","06/18/2026","Put","Ask","279","$443.6K","397","3,070","59 minutes ago","Tuesday, October 14, 2025 at 11:58 AM","12:13 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","12:14 PM","—","Tuesday, October 14, 2025 at 12:14 PM","Call Sweep","APLD","44","10/24/2025","Call","Above","2,453","$401.3K","2,686","2,840","57 minutes ago","Tuesday, October 14, 2025 at 11:59 AM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 14, 2025 at 12:14 PM","Put Sweep","Z","80","06/18/2026","Put","Ask","378","$601K","775","3,070","57 minutes ago","Tuesday, October 14, 2025 at 11:59 AM","12:14 PM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:16 PM","Put Sweep","OKLO","165","10/17/2025","Put","Above","1,054","$527K","2,236","767","57 minutes ago","Tuesday, October 14, 2025 at 12:01 PM","12:16 PM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:16 PM","Unusual Call Sweep","SLV","47","10/27/2025","Call","Ask","3,062","$542K","40,833","953","55 minutes ago","Tuesday, October 14, 2025 at 12:01 PM","12:16 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","12:23 PM","—","Tuesday, October 14, 2025 at 12:23 PM","Call Sweep","WMT","105","11/21/2025","Call","Above","1,001","$461.8K","6,997","9,627","49 minutes ago","Tuesday, October 14, 2025 at 12:08 PM","","","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:26 PM","Unusual Put Sweep","SMH","330","03/20/2026","Put","Ask","395","$999.3K","7,890","379","45 minutes ago","Tuesday, October 14, 2025 at 12:11 PM","12:26 PM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:26 PM","Call Sweep","IBIT","66","12/19/2025","Call","Ask","2,005","$942.4K","2,231","5,625","45 minutes ago","Tuesday, October 14, 2025 at 12:11 PM","12:26 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 14, 2025 at 12:27 PM","Call Sweep","IREN","75","10/31/2025","Call","Ask","1,242","$621K","1,495","2,388","45 minutes ago","Tuesday, October 14, 2025 at 12:11 PM","12:27 PM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:28 PM","Put Sweep","SMH","300","03/20/2026","Put","Ask","569","$808K","7,905","12,225","43 minutes ago","Tuesday, October 14, 2025 at 12:13 PM","12:28 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","12:31 PM","—","Tuesday, October 14, 2025 at 12:31 PM","Put Sweep","W","105","05/15/2026","Put","Ask","374","$1.3M","1,475","0","41 minutes ago","Tuesday, October 14, 2025 at 12:16 PM","","","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:34 PM","Unusual Call Sweep","SLV","47","10/24/2025","Call","Above","5,000","$771.3K","14,261","2,029","37 minutes ago","Tuesday, October 14, 2025 at 12:19 PM","12:34 PM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:35 PM","Call Sweep","TSLA","700","01/15/2027","Call","Ask","286","$1.5M","707","15,364","37 minutes ago","Tuesday, October 14, 2025 at 12:20 PM","12:35 PM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:35 PM","Call Sweep","TSLA","700","01/15/2027","Call","Ask","186","$948.6K","421","15,364","37 minutes ago","Tuesday, October 14, 2025 at 12:20 PM","12:35 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 14, 2025 at 12:36 PM","Call Sweep","WMT","105","11/21/2025","Call","Above","1,000","$483K","10,148","9,627","35 minutes ago","Tuesday, October 14, 2025 at 12:21 PM","12:36 PM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:37 PM","Call Sweep","NVDA","155","12/17/2027","Call","Ask","168","$1.1M","184","13,986","35 minutes ago","Tuesday, October 14, 2025 at 12:22 PM","12:37 PM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:37 PM","Call Sweep","WMT","105","11/21/2025","Call","Ask","1,000","$480K","11,156","9,627","35 minutes ago","Tuesday, October 14, 2025 at 12:22 PM","12:37 PM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","12:38 PM","—","Tuesday, October 14, 2025 at 12:38 PM","Put Sweep","NVDA","170","12/19/2025","Put","Ask","1,000","$795K","1,626","23,147","35 minutes ago","Tuesday, October 14, 2025 at 12:23 PM","","","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:44 PM","Call Sweep","C","110","01/16/2026","Call","Ask","2,492","$623K","3,084","11,635","29 minutes ago","Tuesday, October 14, 2025 at 12:29 PM","12:44 PM","]","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:44 PM","Call Sweep","C","110","01/16/2026","Call","Above","2,440","$617.1K","5,599","11,635","29 minutes ago","Tuesday, October 14, 2025 at 12:29 PM","12:44 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Tuesday, October 14, 2025 at 12:44 PM","Call Sweep","AMD","230","12/19/2025","Call","Ask","221","$442K","813","7,880","27 minutes ago","Tuesday, October 14, 2025 at 12:29 PM","12:44 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","12:48 PM","—","Tuesday, October 14, 2025 at 12:48 PM","Call Sweep","TSLA","700","06/18/2026","Call","Ask","204","$501.8K","1,523","14,956","25 minutes ago","Tuesday, October 14, 2025 at 12:33 PM","","","","","","","","",""
"","","","","[","Tuesday, October 14, 2025 at 12:49 PM","Call Sweep","NVDA","200","03/20/2026","Call","Ask","300","$474K","1,876","34,893","23 minutes ago","Tuesday, October 14, 2025 at 12:34 PM","12:49 PM","]","","","","","","",""
