"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"","","","","[","Thursday, October 9, 2025 at 2:16 PM","Call Sweep","ONDS","10","03/20/2026","Call","Ask","2,698","$1.1M","3,476","19,769","9 hours ago","Thursday, October 9, 2025 at 2:01 PM","2:16 PM","]"
"","","","","[","Thursday, October 9, 2025 at 2:16 PM","Call Sweep","AMZN","230","10/24/2025","Call","Ask","1,200","$456K","8,056","11,029","9 hours ago","Thursday, October 9, 2025 at 2:01 PM","2:16 PM","]"
"","","","","[","Thursday, October 9, 2025 at 2:16 PM","Put Sweep","NVDA","195","12/19/2025","Put","Ask","363","$540.9K","1,100","2,343","9 hours ago","Thursday, October 9, 2025 at 2:01 PM","2:16 PM","]"
"","","","","[","Thursday, October 9, 2025 at 2:16 PM","Call Sweep","NVDA","216","12/19/2025","Call","Ask","1,166","$752.1K","1,220","1,176","9 hours ago","Thursday, October 9, 2025 at 2:01 PM","2:16 PM","]"
"","","","","[","Thursday, October 9, 2025 at 2:18 PM","Call Sweep","META","730","11/21/2025","Call","Above","1,490","$6.5M","2,162","3,335","9 hours ago","Thursday, October 9, 2025 at 2:02 PM","2:18 PM","]"
"","","","","[","Thursday, October 9, 2025 at 2:19 PM","Call Sweep","GDX","60","01/16/2026","Call","Ask","414","$670.7K","866","16,214","9 hours ago","Thursday, October 9, 2025 at 2:04 PM","2:19 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=160","Cheddar Options Flow","APP","2:23 PM","—","Thursday, October 9, 2025 at 2:23 PM","Put Sweep","CWEB","89","01/16/2026","Put","Ask","196","$680.1K","200","0","8 hours ago","Thursday, October 9, 2025 at 2:08 PM","",""
"","","","","[","Thursday, October 9, 2025 at 2:29 PM","Call Sweep","NVDA","200","11/21/2025","Call","Ask","678","$623.8K","25,824","60,734","8 hours ago","Thursday, October 9, 2025 at 2:14 PM","2:29 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=160","Cheddar Options Flow","APP","2:43 PM","—","Thursday, October 9, 2025 at 2:43 PM","Call Sweep","AMZN","230","11/21/2025","Call","Above","1,350","$1.5M","3,546","27,063","8 hours ago","Thursday, October 9, 2025 at 2:27 PM","",""
"","","","","[","Thursday, October 9, 2025 at 2:43 PM","Call Sweep","AMZN","240","08/21/2026","Call","Ask","200","$519K","1,054","2,544","8 hours ago","Thursday, October 9, 2025 at 2:28 PM","2:43 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=160","Cheddar Options Flow","APP","3:10 PM","—","Thursday, October 9, 2025 at 3:10 PM","Call Sweep","KTOS","90","01/16/2026","Call","Ask","200","$412K","306","2,253","8 hours ago","Thursday, October 9, 2025 at 2:55 PM","",""
"","","","","[","Thursday, October 9, 2025 at 3:11 PM","Call Sweep","TSLA","500","11/21/2025","Call","Ask","283","$424.5K","4,617","41,231","8 hours ago","Thursday, October 9, 2025 at 2:56 PM","3:11 PM","]"
"","","","","[","Thursday, October 9, 2025 at 3:15 PM","Call Sweep","META","740","10/24/2025","Call","Ask","502","$778.1K","2,048","1,567","8 hours ago","Thursday, October 9, 2025 at 3:00 PM","3:15 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=160","Cheddar Options Flow","APP","3:23 PM","—","Thursday, October 9, 2025 at 3:23 PM","Call Sweep","GLD","380","11/21/2025","Call","Ask","2,568","$1.2M","9,742","84,781","7 hours ago","Thursday, October 9, 2025 at 3:07 PM","",""
"","","","","[","Thursday, October 9, 2025 at 3:27 PM","Call Sweep","HOOD","145","01/16/2026","Call","Ask","200","$490K","393","2,760","7 hours ago","Thursday, October 9, 2025 at 3:12 PM","3:27 PM","]"
"","","","","[","Thursday, October 9, 2025 at 3:28 PM","Unusual Put Sweep","IREN","60","10/31/2025","Put","Ask","2,259","$1.2M","5,008","162","7 hours ago","Thursday, October 9, 2025 at 3:13 PM","3:28 PM","]"
"","","","","[","Thursday, October 9, 2025 at 3:29 PM","Call Sweep","COST","920","10/17/2025","Call","Above","200","$452.1K","603","632","7 hours ago","Thursday, October 9, 2025 at 3:14 PM","3:29 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=160","Cheddar Options Flow","APP","3:36 PM","—","Thursday, October 9, 2025 at 3:36 PM","Put Sweep","NVDA","170","08/21/2026","Put","Ask","312","$530.4K","332","1,021","7 hours ago","Thursday, October 9, 2025 at 3:21 PM","",""
"","","","","[","Thursday, October 9, 2025 at 3:37 PM","Call Sweep","NBIS","145","03/20/2026","Call","Ask","186","$532K","196","237","7 hours ago","Thursday, October 9, 2025 at 3:22 PM","3:37 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=160","Cheddar Options Flow","APP","3:43 PM","—","Thursday, October 9, 2025 at 3:43 PM","Unusual Put Sweep","AVGO","345","10/17/2025","Put","Ask","748","$718.1K","6,757","536","7 hours ago","Thursday, October 9, 2025 at 3:28 PM","",""
"","","","","[","Thursday, October 9, 2025 at 3:43 PM","Unusual Put Sweep","AVGO","345","10/17/2025","Put","Ask","1,841","$1.8M","8,598","536","7 hours ago","Thursday, October 9, 2025 at 3:28 PM","3:43 PM","]"
"","","","","[","Thursday, October 9, 2025 at 3:45 PM","Call Sweep","NBIS","130","10/17/2025","Call","Ask","425","$412.3K","2,137","2,536","7 hours ago","Thursday, October 9, 2025 at 3:30 PM","3:45 PM","]"
"","","","","[","Thursday, October 9, 2025 at 3:47 PM","Call Sweep","GLD","350","11/21/2025","Call","Ask","250","$526.3K","1,592","10,707","7 hours ago","Thursday, October 9, 2025 at 3:32 PM","3:47 PM","]"
"","","","","[","Thursday, October 9, 2025 at 3:49 PM","Call Sweep","SLV","37.5","01/16/2026","Call","Ask","775","$569.6K","2,078","6,923","7 hours ago","Thursday, October 9, 2025 at 3:33 PM","3:49 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=160","Cheddar Options Flow","APP","3:51 PM","—","Thursday, October 9, 2025 at 3:51 PM","Unusual Call Sweep","MSTR","347.5","10/17/2025","Call","Ask","1,068","$427.2K","8,059","604","7 hours ago","Thursday, October 9, 2025 at 3:36 PM","",""
"","","","","[","Thursday, October 9, 2025 at 3:51 PM","Unusual Call Sweep","MSTR","347.5","10/17/2025","Call","Ask","1,279","$511.6K","9,338","604","7 hours ago","Thursday, October 9, 2025 at 3:36 PM","3:51 PM","]"
"","","","","[","Thursday, October 9, 2025 at 3:52 PM","Call Sweep","PATH","14","01/16/2026","Call","Ask","1,140","$649.8K","2,487","5,897","7 hours ago","Thursday, October 9, 2025 at 3:37 PM","3:52 PM","]"
"","","","","[","Thursday, October 9, 2025 at 3:53 PM","Unusual Call Sweep","MSTR","347.5","10/17/2025","Call","Ask","2,005","$832.1K","11,374","604","7 hours ago","Thursday, October 9, 2025 at 3:38 PM","3:53 PM","]"
"","","","","[","Thursday, October 9, 2025 at 3:53 PM","Call Sweep","META","800","12/19/2025","Call","Ask","500","$1.3M","1,586","7,626","7 hours ago","Thursday, October 9, 2025 at 3:38 PM","3:53 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=160","Cheddar Options Flow","APP","4:01 PM","—","Thursday, October 9, 2025 at 4:01 PM","Call Sweep","AMZN","260","12/17/2027","Call","Ask","178","$691.5K","241","1,487","7 hours ago","Thursday, October 9, 2025 at 3:46 PM","",""
"","","","","[","Thursday, October 9, 2025 at 4:02 PM","Call Sweep","PLTR","220","01/16/2026","Call","Ask","1,000","$1.2M","1,606","5,759","7 hours ago","Thursday, October 9, 2025 at 3:47 PM","4:02 PM","]"
"","","","","[","Thursday, October 9, 2025 at 4:03 PM","Call Sweep","BABA","185","02/20/2026","Call","Ask","389","$608.8K","500","1,242","7 hours ago","Thursday, October 9, 2025 at 3:48 PM","4:03 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=160","Cheddar Options Flow","APP","4:10 PM","—","Thursday, October 9, 2025 at 4:10 PM","Put Sweep","WBD","18","10/17/2025","Put","Ask","4,969","$402.5K","12,289","34,461","7 hours ago","Thursday, October 9, 2025 at 3:55 PM","",""
"","","","","[","Thursday, October 9, 2025 at 4:10 PM","Call Sweep","INTC","37.5","10/10/2025","Call","Above","10,107","$738.1K","34,991","12,632","7 hours ago","Thursday, October 9, 2025 at 3:55 PM","4:10 PM","]"
"","","","","[","Thursday, October 9, 2025 at 4:14 PM","Call Sweep","ETHA","34","11/21/2025","Call","Above","3,000","$877.5K","6,736","16,666","7 hours ago","Thursday, October 9, 2025 at 3:59 PM","4:14 PM","]"
"","","","","[","Thursday, October 9, 2025 at 4:14 PM","Call Sweep","ETHA","34","11/21/2025","Call","Above","2,225","$665.5K","8,961","16,666","7 hours ago","Thursday, October 9, 2025 at 3:59 PM","4:14 PM","]"
"","","","","[","Thursday, October 9, 2025 at 4:15 PM","Call Sweep","INTC","40","01/15/2027","Call","Ask","502","$451.8K","3,849","53,277","7 hours ago","Thursday, October 9, 2025 at 3:59 PM","4:15 PM","]"
